Text,Actual Sentiment,Predicted Sentiment,Confidence
operating profit three month period increased eur revenue increased eur compared corresponding period,positive,positive,0.9485072
brazilian unit finnish security solutions provider f secure signed new clients last year online news source reseller web quoted division commercial director vladimir brand saying,positive,positive,0.79130644
company net profit rose year million euros sales million euros year company said earlier,positive,positive,0.8836531
lithuanian beer market made million liters january rise percent year earlier figure lithuanian brewers association reporting citing results members,positive,positive,0.8691705
viking line cargo revenue increased eur mn cargo volume increased cargo units,positive,positive,0.95205295
fair value property portfolio doubled result kapiteeli acquisition totalled eur million,positive,positive,0.94146454
february finnish media company sanoma oyj hel saa v said yesterday net profit almost tripled eur eur announced proposal raised payout,positive,positive,0.9340229
helsinki eliiv today reported eps eur increase eps eur,positive,neutral,0.40974358
aspo plc stock exchange release february esl shipping ltd part aspo group signed new long term contract rautaruukki corporation marine transport raw materials baltic sea,positive,positive,0.93187654
commission income increased eur mn lending volume rose,positive,positive,0.96058947
january traffic measured revenue passenger kilometres rpk went capacity measured available seat kilometres ask rose,positive,neutral,0.89778847
january september fiskars net profit went year year eur million net sales eur million eur million,positive,neutral,0.5785333
net income life insurance rose eur mn eur mn net income non life insurance eur mn eur mn,positive,positive,0.9293033
nyrstar also agreed supply talvivaara tonnes sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate,positive,neutral,0.8727162
sales department store division hobby hall increased sales clothing store subsidiary seppala decreased,positive,neutral,0.77481145
sales risen export markets,positive,positive,0.66230255
sales increased due growing market rates increased operations,positive,positive,0.94455916
agreement strengthens long term partnership nokia siemens networks,positive,positive,0.94746536
agreement signed biohit healthcare ltd uk based subsidiary biohit oyj finnish public company develops manufactures markets liquid handling products diagnostic test systems,positive,neutral,0.73740435
company also estimates already carried investments lead increase net sales reached eur million,positive,positive,0.9542389
company order book stood bln euro bln september pct year international orders amounting mln euro mln,positive,neutral,0.6121974
company said paper demand increased main markets including publication papers increased average paper prices percent compared last year,positive,positive,0.9522308
world second largest stainless steel maker said net profit three month period dec surged euro million us million euro us per share euro million euro per share previous year,positive,neutral,0.63447726
within framework partnership nokia siemens networks signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic components russia,positive,positive,0.9103057
seppala revenue increased eur finland revenue went eur sales abroad rose eur sales increased baltic countries well russia ukraine,positive,positive,0.9382046
shares standard chartered stan rose ftse royal bank scotland rbs shares rose barclays shares barc bcs,positive,neutral,0.69083595
shares nokia corp rose thursday cell phone maker said third quarter earnings almost doubled share global handset market increased,positive,positive,0.92769843
financial report published friday seb said net profit soared sek bn year earlier sek bn proposed dividend increase sek per share,positive,positive,0.94343555
sales department store division increased sales clothing store subsidiary seppala increased meanwhile sales hobby hall decreased,positive,positive,0.88265777
request finnish media company alma media newspapers research manager jari kaivo oja finland futures research centre turku school economics drawn future scenario finland national economy using model developed university denver,neutral,neutral,0.92011434
sweden gallerix accumulated sek denominated sales eur denominated sales,neutral,neutral,0.93269205
company supports global customers developing new technologies offers fast route product development applications volume production,neutral,neutral,0.6769266
investment place atria plans expand moscow market,neutral,positive,0.56727797
new agreement continuation theagreement signed earlier year lemminkainen group whereby cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland,neutral,positive,0.870809
first contract envisaged construction three ferryboats option two units confirmed total value mln euro mln,positive,neutral,0.9082979
june sold percent stake nordstjernan investment group taken option acquire eqt remaining shares,neutral,neutral,0.9115382
kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kauko telko ltd subsidiary wholly owned kesko,positive,positive,0.7499521
sponda plc stock exchange release december eur billion syndicated credit facility sponda sponda signed agreement one year syndicated credit facility total eur billion,positive,neutral,0.5723027
stock exchange announcement july basware share subscriptions warrants increase share capital total shares subscribed basware warrant program,neutral,positive,0.89433795
contract covers hdo platform ac cxe optical fttb nodes designed increase forward return path capacity transmission networks,positive,positive,0.86288536
new plant planned electricity generation capacity megawatts mw heat generation capacity,neutral,neutral,0.8693633
omx helsinki index pct helsinki cap portfolio index pct higher,positive,neutral,0.9123065
sales growth cars considerably influence tires market,neutral,neutral,0.575685
maximum new shares subscribed exercising b options stock option plan,neutral,neutral,0.94423914
result share issue number company shares increases shares share capital total eur,neutral,neutral,0.85494155
finnish real estate investor sponda plc said wednesday march signed agreements danske bank helsinki branch year eur credit facility ilmarinen mutual pension insurance company year eur credit facility,neutral,positive,0.8723349
route helsinki finland tallinn estonia cargo volumes increased cargo volumes finland sweden fell,neutral,positive,0.6017816
measures included increasing synergies economies scale within grimaldi group personnel adjustments divestments redelivery excess tonnage,neutral,positive,0.7616943
rinkuskiai raised sales percent million liters sales kauno alus grew percent liters,positive,positive,0.83909065
telecomworldwire april tj group plc sells stake morning digital design oy finnish company tj group plc said friday april signed agreement selling shares morning digital design oy edita oyj,neutral,neutral,0.489505
telecomworldwire april tj group plc sells stake morning digital design oy finnish company tj group plc said friday april signed agreement selling shares morning digital design oy edita oyj,positive,neutral,0.489505
new series shares become subject trading helsinki stock exchange main list together old series shares july,neutral,neutral,0.9534508
fuel purchase contracts signed three months delivery september november,neutral,neutral,0.6712061
tiimari operates stores six countries including core finnish market generated turnover mln eur,neutral,neutral,0.93164086
agreement biohit becomes focus supplier pipettors disposable pipettor tips vwr customers throughout europe,positive,positive,0.77491283
combination services enabling us offer complex strengthened service chain limited baltic port connections also getting access world wide grimaldi network mediterranean africa north america says uwe bakosch,positive,positive,0.77720827
blind spots coming vantage point allows investigators see whole story high resolution unbroken video,neutral,neutral,0.9187379
company still expects turnover slightly increase level adding market predictability still poor trustworthy forecasts market development contract manufacturing business current year,positive,negative,0.4651533
acquisition considerably increase kemira sales market position russian metal industry coatings market,positive,positive,0.95542
january september finnlines net sales rose eur mn eur mn corresponding period,positive,positive,0.95545304
adjusted changes group structure division net sales increased,positive,neutral,0.9415517
change optimize operational efficiencies growing business said julia prohaska director marketing communications fiskars,positive,positive,0.818878
would invest physical infrastructure would also provide know managing developing science technology parks said sunrise valley director andrius bagdonas,positive,positive,0.66081625
february finnish broadband data communication systems provider teleste oyj hel tlt v saw net profit jump eur last quarter eur period,positive,positive,0.944229
finnish aktia group operating profit rose eur mn first quarter eur mn first quarter,positive,positive,0.9523542
finnish bank land consolidated net operating profit increased eur mn first quarter eur mn first quarter,positive,positive,0.9507669
finnish financial group aktia reports operating profit eur mn january september eur mn corresponding period,positive,negative,0.87491125
finnish high technology provider vaahto group reports net sales eur mn accounting period september february increase year earlier,positive,negative,0.5861209
net sales finnish food industry company l nnen tehtaat continuing operations increased eur mn eur mn,positive,positive,0.9586736
individual promotion also generated slightly higher expected revenues,positive,positive,0.9412353
biohit already services many current genesis customers customer base expected expand result agreement,positive,positive,0.94171447
operating profit turnover three month period increased respectively eur eur compared corresponding period,positive,positive,0.94855386
circulation revenue increased finland sweden,positive,positive,0.9569121
clothing chain sepp l net sales increased eur mn,positive,positive,0.95798445
construction volumes meanwhile grow rate percent annually,positive,positive,0.93451065
finnish swedish construction markets still experiencing estimated annual growth,positive,positive,0.9394391
however biohit estimates total net sales continue grow favourable trends net sales lead profit,positive,positive,0.9243385
fiskars cash flow operating activities amounted eur eur previous year,positive,neutral,0.84709096
lithuania operating profit rose eur eur corresponding period,positive,positive,0.95411545
fourth quarter net sales increased eur mn eur mn fourth quarter,positive,positive,0.95326704
international sales rose eur mn,positive,positive,0.9576981
kalmar espana generated net sales mln euro mln,neutral,neutral,0.8928111
net sales grew period x ac million us million x ac million,positive,neutral,0.86422145
net sales increased eur april june eur year earlier,positive,positive,0.95184565
net sales rose year year eur number chargers delivered went million pieces,positive,positive,0.9553515
net sales totaled eur mn eur mn corresponding period,positive,neutral,0.86047006
nokia also noted average selling price handsets declined period though mobile phone profit margin rose percent percent year ago quarter,positive,positive,0.9307807
operating profit increased eur mn eur mn,positive,positive,0.95806277
operating profit margin increased,positive,positive,0.67886496
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872
operating profit rose eur mn eur mn fourth quarter,positive,positive,0.95578104
operating profit eur mn eur mn,positive,negative,0.8634358
ramirent net sales second quarterended june euro million u million percent increase compared euro million thesecond quarter last year,positive,positive,0.95241785
revenue grew percent x ac million million x ac million,positive,positive,0.76933074
ruukki announced signed agreement aker solutions norway supply suction anchors september kalajoki unit finland,positive,positive,0.8700748
ruukki delivery volumes selling prices showed favourable development company comparable net sales grew year year eur ceo sakari tamminen said,positive,positive,0.9525578
sanoma magazines net sales estimated grow,positive,neutral,0.9203105
bank forecasts finland gdp grow,positive,neutral,0.6979243
circuit overall production rate weekly basis excess average tonnes per day volumes excess tonnes per day reached individual days,positive,neutral,0.70733243
company consolidated operating profit amounted eur mn eur mn year year,positive,positive,0.6268689
department store division reported increase sales per cent,positive,positive,0.9327438
fair value company investment properties grew eur billion end march eur million year ago,positive,positive,0.92951035
last quarter best quarter net sales operating margin rose,positive,positive,0.91303325
major breweries increased domestic beer sales per cent last year million litres million litres,positive,positive,0.90316665
transaction doubles tecnomens workforse adds fourth net sales,positive,neutral,0.75887454
operating profit rose eur million,positive,positive,0.9582506
purchase cramo become second largest rental services provider latvian market,positive,neutral,0.52359444
priority strengthen company balance sheet increase cash flow ceo hannu krook said,positive,positive,0.9408224
purchase operations part yit strategy expand offering building system services geographically,positive,positive,0.51659876
october finnish fishing tackle company rapala vmc corp hel rap v said today net profit rose eur first nine months eur period year earlier,positive,positive,0.95218706
structures bim building information modeling software tekla model based software provider adopted construction management delivery university project abu dhabi,neutral,neutral,0.9219126
according finnish metso minerals value company orders gone eur bn months,positive,neutral,0.8182164
finnish aldata solution signed contract supply g l system two french retail chains,positive,positive,0.7856797
finnish bank land reports operating profit rose eur mn second quarter eur mn corresponding period,positive,positive,0.9528711
finnish financial group aktia operating profit increased eur mn eur mn,positive,positive,0.9570199
finnish forest machinery manufacturer ponsse net sales grew eur mn first quarter eur mn corresponding period,positive,positive,0.95387274
finnish kci konecranes raised net sales growth estimate,positive,positive,0.95824677
finnish okmetic manufactures processes silicon wafers semiconductor sensor industries norwegian solar wafer company norsun signed contract okmetic supply norsun mono silicon crystals use solar cell manufacturing,positive,neutral,0.9177504
finnish pharmaceuticals company orion net sales rose eur mn first quarter eur mn first quarter,positive,positive,0.953144
finnish ponsse signed agreement babcock africa distribution support ponsse forest machines harvester heads information systems south africa,positive,neutral,0.5707169
south african sappi become largest foreign forest industry company operating finland result acquisition finnish real corporation graphic papers business unit,positive,neutral,0.8606783
according deputy md pekka silvennoinen aim double turnover next three years,positive,neutral,0.7826162
according hkscan finland plan increase j rvi suomen portti net sales eur mn eur mn,positive,positive,0.89923
advertising circulation revenues grew respectively,positive,positive,0.9483927
takeover cramo become second largest rental services provider latvian market,positive,neutral,0.61723226
significant sales increase russia,positive,positive,0.9558443
alma media expects net sales increase forecast previously,positive,positive,0.95482486
also lemmink inen profit accounting period went eur mn eur mn year ago,positive,negative,0.6558783
end march group order book eur mn corresponding period,positive,neutral,0.8294048
time profit company increased h reached ls,positive,positive,0.93256223
aviation systems maintenance based kansas generated net sales usd million,neutral,neutral,0.8135237
besides increased share meat various sausages offering number new tastes grill products shish kebabs segment paavel said,positive,neutral,0.67909765
operating profit net sales month period increased respectively eur eur compared financial year,positive,positive,0.93911296
operating profit net sales month period increased respectively eur eur compared financial year,positive,positive,0.93911296
operating profit net sales month period increased respectively eur eur compared,positive,positive,0.9565225
operating profit net sales month period increased respectively eur eur compared,positive,positive,0.9565225
operating profit net sales nine month period increased respectively compared corresponding period,positive,positive,0.9490628
operating profit net sales six month period increased respectively eur eur compared corresponding period,positive,positive,0.9379266
operating profit net sales six month period increased respectively eur eur compared corresponding period,positive,positive,0.9379266
operating profit net sales six month period increased respectively eur eur compared corresponding period,positive,positive,0.9379266
operating profit net sales six month period increased respectively eur eur compared corresponding period,positive,positive,0.9379266
operating profit net sales three month period increased respectively eur eur compared corresponding period,positive,positive,0.93531656
operating profit net sales three month period increased respectively eur eur compared corresponding quarter,positive,positive,0.95288545
operating profit sales three month period increased respectively eur eur compared corresponding period,positive,positive,0.94130814
operating profit turnover nine month period increased respectively eur eur compared corresponding period year ago,positive,positive,0.9514018
operating profit turnover six month period increased respectively eur eur compared corresponding period,positive,positive,0.95024854
operating profit turnover six month period increased respectively eur eur compared corresponding period year ago,positive,positive,0.9520014
cargo volume grew,positive,neutral,0.88212764
cargo volume increased approximately,positive,positive,0.9590104
comparable operating profit totaled eur mn eur mn,positive,neutral,0.5220729
digia said consolidated net sales january june eur period eur,positive,neutral,0.8587221
diluted earnings per share eps rose eur eur,positive,positive,0.95244944
diluted earnings per share eps rose eur versus eur,positive,positive,0.95124733
diluted earnings per share eps rose eur eur,positive,positive,0.95244944
diluted earnings per share eps rose eur eur,positive,positive,0.95244944
diluted eps rose eur eur,positive,positive,0.9365613
ebit margin,positive,neutral,0.9334905
editor note grimaldi generated bln euro bln turnover ansa reported may,neutral,neutral,0.7364342
eps quarter eur compared eur third quarter representing group net sales third quarter eur compared eur third quarter,positive,negative,0.6913827
eps continuing operations came eur,positive,neutral,0.89260244
equity ratio compared third quarter net sales frozen foods business totaled eur third quarter,positive,neutral,0.8864628
eur q may finnish textile clothing design company marimekko oyj hel mmo v said today net profit rose eur first quarter eur corresponding period year earlier,positive,positive,0.9469757
finland based elcoteq se privately held provider electronics manufacturing services communications companies said thursday signed long term manufacturing supply deal communications equipment company andrew corp,positive,positive,0.7765275
finnish cutlery hand tools maker fiskars oyj abp hel fisas said today net profit rose eur million usd third quarter eur million year earlier,positive,positive,0.94915
finnish department store chain stockmann oyj abp net profit rose mln euro mln first nine months mln euro mln period,positive,positive,0.950352
finnish lifting equipment maker konecranes oyj said july net profit rose mln euro mln first half mln euro mln period,positive,positive,0.9503729
finnish messaging solutions developer tecnomen corporation omx helsinki tem v said thursday december received expansion order convergent charging solution latin america,positive,positive,0.8707644
finnish metal industry solutions supplier outotec oyj net profit rose mln euro mln first nine months mln euro mln period,positive,positive,0.95236164
finnish metal products company componenta oyj net profit rose mln euro mln first quarter mln euro mln period,positive,positive,0.9500874
finnish office supplies computer accessories dealer beltton group plc said net profit rose mln euro mln mln euro mln,positive,positive,0.9508163
finnish security privacy software solutions developer stonesoft oyj said january preliminary sales stonegate products grew pct year year mln euro mln fourth quarter,positive,positive,0.9267949
finnish silicon wafer technology company okmetic oyj omx helsinki okm v reported thursday august operating profit eur period january june eur corresponding period,positive,negative,0.8768969
finnish software developer done solutions oyj said net profit increased mln euro mln mln euro mln,positive,positive,0.9531729
first quarter underlying operating profit rose mln eur mln year earlier,positive,positive,0.9509409
following acquisition relacom strengthen presence finland serving operators office market mobile fixed networks construction installation maintenance services,positive,neutral,0.83752656
first nine months company net profit rose eur eur corresponding period,positive,positive,0.9543765
helsinki afx retail wholesale group kesko reported net sales mln eur february increase pct year year,positive,neutral,0.8814249
however net sales seen grown eur eur,positive,neutral,0.6555177
however sales returned growth april june ceo pekka eloholma said,positive,positive,0.9547378
ragutis controlled finnish brewery reported per cent rise beer sales million litres held per cent market share,positive,positive,0.521148
svyturys utenos alus controlled nordic group baltic beverages holding bbh posted per cent growth beer sales january may million litres,positive,positive,0.94934845
contempus generated revenue nok approx,neutral,neutral,0.92708325
addition kone signed two year maintenance contract escalators,positive,positive,0.87428474
december alone members lithuanian brewers association sold total million liters beer increase percent sales million liters december,positive,neutral,0.7871516
january september group net interest income increased eur mn eur mn january september,positive,positive,0.9562869
q bank land net interest income increased eur mn eur mn,positive,positive,0.95842534
sweden operating profit period review totaled eur mn corresponding period,positive,negative,0.82842857
fourth quarter orion net profit went year year eur,positive,neutral,0.5608547
second quarter group net profit rose eur million eur million april june,positive,positive,0.9542044
second quarter group net profit rose eur eur april june,positive,positive,0.9535132
third quarter net sales increased year year eur million comparable currency rates growth,positive,positive,0.9583422
third quarter net sales increased year year eur comparable currency rates growth,positive,positive,0.9586688
incap estimates generate revenue mln euro mln indian operations,neutral,neutral,0.5530892
market share widened percent percent year earlier,positive,positive,0.91938233
total annual revenue comes mln zloty mln mln euro,neutral,neutral,0.93971646
kesko agro eesti retailer wholesaler grain agricultural warehousing machinery accessories net sales million euros increase one tenth preceding year,positive,positive,0.92471516
kesko car import retailing business vv auto saw sales grow pct,positive,positive,0.9521953
kone net sales rose year year first nine months,positive,positive,0.9570597
adp news feb finnish management software solutions provider ixonos oyj hel xns v said today net profit rose eur million usd eur million,positive,positive,0.9526685
adp news feb finnish solutions provider affecto oyj hel afe v said today net profit rose eur million usd eur million,positive,positive,0.9532442
adp news feb finnish fishing tackle company rapala vmc corp hel rap v said today net profit rose eur million usd eur million,positive,positive,0.95415354
adp news nov finnish electronic measurement products solutions maker vaisala oyj omx vaias said today net profit rose eur million usd first nine months eur,positive,positive,0.9542012
adp news oct finnish lifting equipment maker konecranes oyj omx kcr v said today net profit rose eur million usd first nine months eur million,positive,positive,0.9512216
metso expects net sales increase comparable exchange rates,positive,positive,0.95372146
real generated turnover eur bn employees,neutral,neutral,0.92762333
neste oil corp signed long term procurement contracts honkajoki oy findest protein oy owned finnish food manufacturers supply animal fat biodiesel production neste b cd porvoo finland refinery,positive,positive,0.92706984
net interest income increased eur mn eur mn,positive,positive,0.959944
net interest income eur mn eur mn,positive,neutral,0.8055397
net interest income eur mn eur mn,positive,neutral,0.8055397
net sales vegetable oil business rose eur mn eur mn,positive,positive,0.95784795
nokia multimedia net sales totaled eur bn corresponding period,positive,neutral,0.9363089
operating income rose eur mn eur mn,positive,positive,0.9591137
operating profit kauppalehti group rose eur mn eur mn marketplaces eur mn eur mn third quarter,positive,positive,0.9487706
operating profit rose eur mn eur mn,positive,positive,0.95765746
operating profit rose mln eur mln,positive,positive,0.9534145
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872
operating profit rose eur mn eur corresponding period,positive,positive,0.95740145
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872
operating profit rose eur mn eur mn,positive,positive,0.95765746
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872
operating profit rose eur mn eur mn,positive,positive,0.95765746
operating profit rose eur mn eur mn,positive,positive,0.95765746
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872
operating profit rose eur eur year earlier,positive,positive,0.95395356
operating profit surged eur eur,positive,positive,0.93582916
operating profit totaled eur mn slightly eur mn corresponding period,positive,negative,0.4179472
operating profit totaled eur mn eur mn,positive,neutral,0.51112133
operating profit eur mn eur mn,positive,negative,0.8634358
operating profit eur mn eur mn,positive,negative,0.8634358
order intake grew year year year year respectively eur million eur billion respective january september july september periods,positive,positive,0.36227396
orders received grew year year eur,positive,neutral,0.69139624
orion pharma operating profit increased,positive,positive,0.93335164
passenger volumes rose accounting period,positive,positive,0.9546235
passenger related revenue rose eur mn eur mn,positive,positive,0.95861614
press release october ruukki signed contract deliver install steel structures bridge kyronsalmi strait savonlinna finland,positive,positive,0.93697804
pretax profit rose eur mn eur mn corresponding period,positive,positive,0.9567656
pretax profit rose eur mn eur corresponding period,positive,positive,0.9572048
pretax profit rose eur mn eur mn,positive,positive,0.9569672
pre tax profit totaled eur mn eur mn,positive,neutral,0.84167755
previously company guided ebit sales growth pct pct respectively year,positive,positive,0.69999987
previously company estimated operating profit reach level,positive,neutral,0.61301917
profit period totaled eur mn eur mn corresponding period,positive,neutral,0.4913821
profit period eur mn eur mn,positive,negative,0.7062156
profit period eur mn eur mn,positive,negative,0.7062156
revenue grew percent x ac billion us billion,positive,positive,0.90980905
revenue july september grew percent euro million year earlier company said thursday,positive,positive,0.7373781
revenues time grew percent million euros,positive,neutral,0.80624443
ruukki signed contract deliver install steel structures bridge kyronsalmi strait savonlinna finland,positive,positive,0.92190003
sales latin america increased eur mn total mn mobile devices sold area representing increase corresponding period,positive,positive,0.9220439
sales clothing developed best,positive,positive,0.49386075
sanoma magazines finland net sales grew eur mn eur mn,positive,positive,0.95939267
satama net profit third quarter rose euro euro period,positive,positive,0.9463283
section regional news demand finnair asian traffic measured passenger kilometers august compare last year,positive,neutral,0.5844767
svyturys utenos alus controlled nordic group baltic beverages holding bbh posted percent growth beer sales january september million liters,positive,positive,0.9170219
would increase estimated sales million last year,positive,positive,0.95097893
agreement expands tekla structures scope use bridge design,positive,positive,0.60228235
aim increase sales least one fifth,positive,neutral,0.7357505
chain posted sales million euros full rise percent year year,positive,positive,0.8874182
company expects net sales increase,positive,positive,0.80959225
company expects net sales first half reach previous year level,positive,positive,0.5350296
company process building new fleet placed orders p max tankers dwt,positive,neutral,0.8256488
company operating income ebit totalled eur mn eur mn year year,positive,neutral,0.75837284
eps outlook increased pct pct,positive,positive,0.8078348
fair value investment properties totaled eur mn eur mn,positive,neutral,0.9042568
finnish government announced wednesday sold percent stake chemicals fertilizer group kemira oyj x ac million us million sending company share price percent,positive,neutral,0.91213536
firm generated sales mln eur,neutral,neutral,0.8512896
german company also signed code share agreement another oneworld member american airlines inc part us based amr corp nyse amr,positive,positive,0.5604949
helsinki based company also owns salomon atomic suunto brands said net profit rose percent three months dec x ac million us million x ac million year earlier,positive,positive,0.9538243
increase capital stock registered finnish trade register november,positive,neutral,0.9335564
operating profit grain trading increased eur mn eur mn,positive,positive,0.9573548
stock rose second day wednesday bringing two day rise gbx,positive,positive,0.9113452
stock rose third day tuesday bringing three day rise gbx,positive,positive,0.900015
transaction line aspo strategy expand baltic sea region eastern markets,positive,neutral,0.75759673
transactions would increase earnings per share first quarter eur,positive,positive,0.9530495
recovery base metals prices increased demand metals china however,positive,positive,0.8625381
new representation extends comptel global presence total countries serving customers countries worldwide,positive,positive,0.58113617
tietoenator uses nokia intellisync mobile suite wireless email calendar device management capabilities company extend services customers,positive,neutral,0.93202585
total operating revenue grew year year eur,positive,positive,0.7199888
vacon cash flow operations grew eur mn eur mn year ago,positive,positive,0.95632017
vacon supply drives ruselprom power range kw mw,neutral,neutral,0.89936984
also strengthen existing partnership cybercom says teleste cto esko myllyla,positive,positive,0.71356905
via satlan acquisition teleste plans expand market presence video services partner cable operators broadcasters iptv service providers,positive,positive,0.7722017
acquisition company expand offering north central south america said,positive,neutral,0.8435102
extension new contract eight engines plant produce mw said,positive,neutral,0.77693754
yit says acquisition part strategy expansion central eastern european markets,positive,neutral,0.917103
basware product sales grew strongly financial period percent,positive,positive,0.95473075
second quarter firstquarter growth net sales since third quarter said magnus rosen ramirent ceo,positive,positive,0.92711705
transaction strengthens position design branded goods said fiskars president ceo heikki allonen pointing two groups relatively overlapping operations,positive,positive,0.73302937
february finnish textile clothing company marimekko oyj hel mmo v said today preliminary operating profit grew eur eur,positive,positive,0.9404327
finnish componenta published new long term strategy period aim growing together customers,neutral,neutral,0.51857716
finnish larox signed contract talvivaara project delivery filters talvivaara nickel mine sotkamo finland,positive,neutral,0.8298376
affecto expects net sales whole increase level reached eur million,positive,positive,0.9571155
cash flow operations rose eur mn eur mn,positive,positive,0.95789105
commission income rose eur mn eur mn,positive,positive,0.9573818
componenta objective agreement increase business existing production lines,positive,positive,0.8823366
earnings per share january june eur increase year year eur,positive,positive,0.59866124
earnings per share eps rose eur eur,positive,positive,0.9544635
elisa said mobile subscriptions grew percent mainly customers adopting called third generation mobile technology,positive,positive,0.5764925
eps quarter came eur eur year ago ahead forecast eur,positive,positive,0.6375967
eps grew eur eur,positive,neutral,0.6840155
exports grew percent million liters,positive,neutral,0.48534715
finnish investment group panostaja oyj said net profit went mln euro mln fiscal ended october mln euro mln period fiscal,positive,neutral,0.5817355
finnish metal components supplier componenta oyj said net profit went mln euro mln mln euro mln,positive,positive,0.49802113
finnish silicon wafer technology company okmetic oyj omx helsinki okm v reported thursday october operating profit eur january september eur corresponding period,positive,negative,0.93403023
fiskars brands report net sales eur mn eur mn,positive,positive,0.5155779
geosentric oyj geosolutions business unit gypsii mobile digital lifestyle application geo mobility social networking platform signed agreement nanjing mynet make gypsii mobile social networking platform available customers china mobile,positive,positive,0.8938982
helsinki afx outokumpu technology said signed mln eur agreement mongolia erdenet mining corporation engineering first hydrocopper plant built erdenet mine site,positive,positive,0.8641198
however proportion paid standing orders grew,positive,neutral,0.7599251
addition demand finland export lining stone products also increased,positive,positive,0.92121667
january september group net sales continuing operations rose eur mn eur mn corresponding period,positive,positive,0.9517586
july september yit net sales increased eur mn compared eur mn corresponding period,positive,positive,0.9544369
reporting period net sales rose year year eur due business acquisitions realized first half effect eur review period,positive,positive,0.9433349
reporting period company operating profit grew eur million,positive,positive,0.95628166
last year net sales rose eur million eur million,positive,positive,0.9539794
last year company raised turnover approximately million litas eur mln million litas,positive,positive,0.55602866
adp news nov finnish ac drives manufacturer vacon oyj omx vac v said today set new representative offices romania ukraine serve growing markets eastern southeastern europe,positive,positive,0.52036524
marimekko group full year net sales estimated increase,positive,neutral,0.8036185
net sales surged eur million,positive,positive,0.9550517
net sales went year year eur million affected business acquisitions realized previous financial period effect eur million review period,positive,neutral,0.49064633
nevertheless market share rose percent percent year earlier,positive,positive,0.9490736
