Text,Actual Sentiment,Predicted Sentiment,Confidence,Impact Score
net sales increased eur eur pretax profit rose eur eur usd,positive,positive,0.9539975,95.39975000000001
sales tiimari business went eur million gallerix stores saw growth eur million,negative,positive,0.9539845,95.39845
last year net sales rose eur million eur million,positive,positive,0.9539794,95.39794
operating profit rose eur eur year earlier,positive,positive,0.95395356,95.39535599999999
managing director kari inkinen says sponda leasing operations developed highly favourably,positive,positive,0.9539427,95.39427
finnish forest machinery manufacturer ponsse net sales grew eur mn first quarter eur mn corresponding period,positive,positive,0.95387274,95.387274
diesel margin remained high,positive,positive,0.9538605,95.38605
helsinki based company also owns salomon atomic suunto brands said net profit rose percent three months dec x ac million us million x ac million year earlier,positive,positive,0.9538243,95.38243
metso expects net sales increase comparable exchange rates,positive,positive,0.95372146,95.372146
sales rose mln eur compared last year mln eur line mln eur consensus figure,positive,positive,0.95360386,95.36038599999999
olvi posted strong set figures first six months year,positive,positive,0.95359975,95.35997499999999
company expects net sales significantly increase,positive,positive,0.95359737,95.359737
second quarter group net profit rose eur eur april june,positive,positive,0.9535132,95.35132
operating profit rose mln eur mln,positive,positive,0.9534145,95.34145000000001
robust growth result inclusion clothing chain lindex group december,positive,positive,0.95333517,95.333517
full year net sales expected increase approximately company said,positive,positive,0.9533064,95.33064
however bottom line result improved thanks positive financial items,positive,positive,0.95330215,95.330215
fourth quarter net sales increased eur mn eur mn fourth quarter,positive,positive,0.95326704,95.32670399999999
adp news feb finnish solutions provider affecto oyj hel afe v said today net profit rose eur million usd eur million,positive,positive,0.9532442,95.32442
finnish software developer done solutions oyj said net profit increased mln euro mln mln euro mln,positive,positive,0.9531729,95.31729
finnish pharmaceuticals company orion net sales rose eur mn first quarter eur mn first quarter,positive,positive,0.953144,95.3144
satama net sales would higher year,positive,positive,0.95305455,95.305455
transactions would increase earnings per share first quarter eur,positive,positive,0.9530495,95.30495
major order india comptel corporation received significant long term order mediation provisioning solutions used leading operator india,positive,positive,0.9530067,95.30067
operating profit excluding non recurring items increased eur mn eur mn corresponding period,positive,positive,0.952949,95.2949
operating profit net sales three month period increased respectively eur eur compared corresponding quarter,positive,positive,0.95288545,95.288545
finnish bank land reports operating profit rose eur mn second quarter eur mn corresponding period,positive,positive,0.9528711,95.28711
eurochem head corporate finance alexander gavrilov said pleased confirmed eurochem able attract long term funds attractive rates,positive,positive,0.9527902,95.27902
adp news feb finnish management software solutions provider ixonos oyj hel xns v said today net profit rose eur million usd eur million,positive,positive,0.9526685,95.26685
according rehu managing director jouko lahtinen project stabilise costs improve supply security,positive,positive,0.95266825,95.266825
nokia world largest mobile phone manufacturer china postel china largest mobile phone distributor long standing partnership continues grow stronger time,positive,positive,0.95256585,95.256585
ruukki delivery volumes selling prices showed favourable development company comparable net sales grew year year eur ceo sakari tamminen said,positive,positive,0.9525578,95.25578
diluted earnings per share eps rose eur eur,positive,positive,0.95244944,95.244944
diluted earnings per share eps rose eur eur,positive,positive,0.95244944,95.244944
diluted earnings per share eps rose eur eur,positive,positive,0.95244944,95.244944
ramirent net sales second quarterended june euro million u million percent increase compared euro million thesecond quarter last year,positive,positive,0.95241785,95.24178500000001
finnish metal industry solutions supplier outotec oyj net profit rose mln euro mln first nine months mln euro mln period,positive,positive,0.95236164,95.236164
finnish aktia group operating profit rose eur mn first quarter eur mn first quarter,positive,positive,0.9523542,95.23542
upm kymmene generated seventeen consecutive quarters positive cash flow operations,positive,positive,0.95230055,95.23005500000001
company said paper demand increased main markets including publication papers increased average paper prices percent compared last year,positive,positive,0.9522308,95.22308000000001
kesko car import retailing business vv auto saw sales grow pct,positive,positive,0.9521953,95.21952999999999
growth net sales continued favourably middle east africaand asia pacific,positive,positive,0.95219237,95.219237
october finnish fishing tackle company rapala vmc corp hel rap v said today net profit rose eur first nine months eur period year earlier,positive,positive,0.95218706,95.218706
viking line cargo revenue increased eur mn cargo volume increased cargo units,positive,positive,0.95205295,95.205295
operating profit turnover six month period increased respectively eur eur compared corresponding period year ago,positive,positive,0.9520014,95.20014
net sales increased eur april june eur year earlier,positive,positive,0.95184565,95.18456499999999
sports equipment sales also progressed well owing prolonged winter season,positive,positive,0.95180374,95.180374
brokerage said seen true turning point european steel base prices better pricing seen carrying second quarter,positive,positive,0.9517725,95.17725
january september group net sales continuing operations rose eur mn eur mn corresponding period,positive,positive,0.9517586,95.17586
third quarter net sales increased eur mn operating profit eur mn,positive,positive,0.9514978,95.14977999999999
turnover surged eur eur due increasing service demand especially third quarter overall growth business,positive,positive,0.9514885,95.14885
acquisition kaupthing sverige bring significant positive non recurring addition group performance,positive,positive,0.9514655,95.14654999999999
operating profit turnover nine month period increased respectively eur eur compared corresponding period year ago,positive,positive,0.9514018,95.14018
operating profit increased eur mn eur mn corresponding period,positive,positive,0.9513316,95.13316
via move company aims annual savings eur main part expected realized year,positive,positive,0.95126426,95.126426
diluted earnings per share eps rose eur versus eur,positive,positive,0.95124733,95.12473299999999
adp news oct finnish lifting equipment maker konecranes oyj omx kcr v said today net profit rose eur million usd first nine months eur million,positive,positive,0.9512216,95.12216
according ceo matti karppinen frozen foods posted good result,positive,positive,0.95112485,95.112485
solid credit compared dz bank rabobank,positive,positive,0.9511095,95.11095
helsinki afx shares closed higher led nokia announced plans team sanyo manufacture g handsets nokian tyres fourth quarter earnings report beat analysts expectations dealers said,positive,positive,0.9510059,95.10059
would increase estimated sales million last year,positive,positive,0.95097893,95.097893
first quarter underlying operating profit rose mln eur mln year earlier,positive,positive,0.9509409,95.09409
company market share continued increase,positive,positive,0.9508708,95.08708
finnish office supplies computer accessories dealer beltton group plc said net profit rose mln euro mln mln euro mln,positive,positive,0.9508163,95.08162999999999
extensive co operation also bolster sysopen digia position domestic operator market kallioranta adds,positive,positive,0.95078546,95.078546
finnish bank land consolidated net operating profit increased eur mn first quarter eur mn first quarter,positive,positive,0.9507669,95.07669
strong growth continued also china,positive,positive,0.9507054,95.07054000000001
proportion estonian lithuanian passengers tallinn helsinki route also grew july,positive,positive,0.9505887,95.05887
exel composites long term growth prospects remain favourable however,positive,positive,0.950538,95.0538
company intensifying smelter operations increasing annual production capacity tonnes copper,positive,positive,0.95053226,95.053226
sales expected increase end year however,positive,positive,0.95047617,95.047617
operating profit improved eur mn eur mn,positive,positive,0.9503969,95.03969
operating profit improved eur mn eur mn,positive,positive,0.9503969,95.03969
operating profit improved eur mn eur mn,positive,positive,0.9503969,95.03969
finnish lifting equipment maker konecranes oyj said july net profit rose mln euro mln first half mln euro mln period,positive,positive,0.9503729,95.03729
finnish department store chain stockmann oyj abp net profit rose mln euro mln first nine months mln euro mln period,positive,positive,0.950352,95.0352
kesko agro lietuva agricultural machinery grain trader another member kesko group boosted sales percent million euros vat inclusive,positive,positive,0.95025855,95.025855
operating profit turnover six month period increased respectively eur eur compared corresponding period,positive,positive,0.95024854,95.024854
actions improve operational efficiency adjust operations expected deliver annualised permanent cost savings around eur million effected mostly first half,positive,positive,0.9502392,95.02391999999999
restructuring creates efficient organization increased operational focus stable profitability leads efficient production said bo annvik head specialty stainless,positive,positive,0.95013016,95.013016
finnish metal products company componenta oyj net profit rose mln euro mln first quarter mln euro mln period,positive,positive,0.9500874,95.00874
cargotec corporation press release april p finnish time cargotec macgregor business area providing marine cargo handling offshore load handling solutions received significant hatch cover orders bulk carriers,positive,positive,0.95005226,95.005226
new production plant company would increase capacity meet expected increase demand would improve use raw materials therefore increase production profitability,positive,positive,0.94989926,94.989926
mobile phone shipments jumped percent almost million units finnish company global market share rose percent percent,positive,positive,0.94977635,94.977635
finnish cargotec kalmar received significant order us department defense,positive,positive,0.9497055,94.97055
return capital employed rose percentage points,positive,positive,0.9494341,94.94341
svyturys utenos alus controlled nordic group baltic beverages holding bbh posted per cent growth beer sales january may million litres,positive,positive,0.94934845,94.934845
finnish cutlery hand tools maker fiskars oyj abp hel fisas said today net profit rose eur million usd third quarter eur million year earlier,positive,positive,0.94915,94.915
nevertheless market share rose percent percent year earlier,positive,positive,0.9490736,94.90736
operating profit net sales nine month period increased respectively compared corresponding period,positive,positive,0.9490628,94.90628
adp news oct finnish food company raisio oyj omx raivv said today net profit jumped eur million usd first nine months eur million period,positive,positive,0.94898,94.89800000000001
operating profit kauppalehti group rose eur mn eur mn marketplaces eur mn eur mn third quarter,positive,positive,0.9487706,94.87706
aspo plc stock exchange announcement may increase share capital aspo plc totaling eur registered today,positive,positive,0.94867194,94.867194
upm kymmene generated four consecutive quarters positive free cash flow,positive,positive,0.94855976,94.855976
operating profit turnover three month period increased respectively eur eur compared corresponding period,positive,positive,0.94855386,94.855386
operating profit three month period increased eur revenue increased eur compared corresponding period,positive,positive,0.9485072,94.85072
systeemitiimi sales project resources also strengthened director paul skogberg said,positive,positive,0.948462,94.8462
advertising circulation revenues grew respectively,positive,positive,0.9483927,94.83927
company makes garden tools scissors consumer goods said earnings boosted mln eur income received pct shareholding finnish engineering group wartsila,positive,positive,0.9481374,94.81374
deal strengthens ramirent position especially industrial sector large investment projects,positive,positive,0.9479333,94.79333
helsinki thomson financial kemira growhow swung profit first quarter earnings improved sales especially fertilizer business europe normally stronger first quarter,positive,positive,0.94792765,94.792765
adp news oct finnish consulting engineering company poyry oyj omx poy v said today awarded eur million usd extension existing consultancy engineering contract venezuel,positive,positive,0.9477977,94.77977
agreement strengthens long term partnership nokia siemens networks,positive,positive,0.94746536,94.746536
acquisition expected improve access chrome ore resources turkey,positive,positive,0.9474522,94.74522
finnish construction group lemmink inen awarded two road building contracts lithuanian transport administration,positive,positive,0.94742244,94.742244
jarmo honkamaa head oil refining business neste oil says situation looks promising viewpoint,positive,positive,0.94713426,94.713426
suominen corporation estimates cost cutting program started autumn higher sales prices expected growth volume wet wipes make company operations profitable,positive,positive,0.9470959,94.70959
company expects net sales whole remain level,negative,positive,0.9470885,94.70885
eur q may finnish textile clothing design company marimekko oyj hel mmo v said today net profit rose eur first quarter eur corresponding period year earlier,positive,positive,0.9469757,94.69757
lead production turn increase tonnes would twofold increase current capacity levels zahariev said,positive,positive,0.94685435,94.685435
finland leading metals group outokumpu said fourth quarter net profit tripled back strong global demand stainless steel soaring base metal prices proceeds sale technology unit,positive,positive,0.9468222,94.68222
rautaruukki corporation stock exchange release december noon ruukki construction engineering divisions improve adjust operations finland,positive,positive,0.9468004,94.68004
finnish cargotec awarded significant order total hiab loader cranes bae systems us,positive,positive,0.9467681,94.67681
teliasonera tlsn said offer line strategy increase ownership core business holdings would strengthen eesti telekom offering customers,positive,positive,0.94668704,94.668704
lowering prices us competitors shows real estate market stabilised returned balance apartments acquiring fair price eyes clients,positive,positive,0.9466857,94.66857
sales rose pct mln eur back strong volume favourable currency effects,positive,positive,0.94655246,94.655246
ruukki forecast annual sales growth positive pretax result,positive,positive,0.94651914,94.651914
group aims increase net sales comparable operating profit,positive,positive,0.9465128,94.65128
finnish talentum reports operating profit increased eur mn eur mn net sales totaled eur mn eur mn,positive,positive,0.946347,94.63470000000001
resulted improved sales figures sweden,positive,positive,0.9463327,94.63327
satama net profit third quarter rose euro euro period,positive,positive,0.9463283,94.63283
middle east north africa tecnotree grown considerably recent years,positive,positive,0.9462211,94.62211
largest elevator market world chinese output elevators continued rise units yr yr,positive,positive,0.9458351,94.58351
according ceo kai telanne company newspapers achieved best financial result ever,positive,positive,0.9458125,94.58125
price logs clearly improved also price pulpwood gone,positive,positive,0.9457524,94.57524000000001
hk ruokatalo accounts poultry sales finland profitability good level,positive,positive,0.9456361,94.56361
ponsse projects forest machine markets improve expected previous year,positive,positive,0.94560665,94.560665
finnish geosentric developer provider solutions products technologies location based services preliminary agreed eur mn short term funding leading investor,positive,positive,0.9455984,94.55984
cargotec corporation press release august finnish time cargotec macgregor business area providing marine cargo handling offshore load handling solutions received significant offshore crane retrofit order,positive,positive,0.94543135,94.543135
acquiring rcp combine strong knowhow expertise solid local company,positive,positive,0.9453521,94.53521
subscriptions increase cargotec share capital eur,positive,positive,0.9451138,94.51138
combining deep domain expertise application service management asm outsourcing service offerings proved winning combination,positive,positive,0.9447369,94.47369
finnish outokumpu technology awarded several new grinding technology contracts,positive,positive,0.94471437,94.47143700000001
operating profit excluding restructuring costs grew eur million eur million operating profit including restructuring costs showed even larger growth eur million eur million,positive,positive,0.9446583,94.46583
turnover rose eur eur,positive,positive,0.9446171,94.46171
earnings per share quarter also higher year year eur versus market expectations eur,positive,positive,0.94459826,94.459826
sales increased due growing market rates increased operations,positive,positive,0.94455916,94.455916
sales came mln eur compared mln also beating consensus forecasts mln eur,positive,positive,0.9444813,94.44812999999999
finnish house manufacturers targeting strongly growing one family house market russia,neutral,positive,0.944394,94.43939999999999
accordance strategy strengthened local presence establishing representative office south africa october,positive,positive,0.9443502,94.43502000000001
february finnish broadband data communication systems provider teleste oyj hel tlt v saw net profit jump eur last quarter eur period,positive,positive,0.944229,94.4229
meanwhile electrowatt ekono philippines inc also awarded three year operation maintenance contract fr cement corporation,positive,positive,0.94402105,94.402105
rautaruukki said construction group yit awarded mln eur contract supply steel structures new bridge spanning kemijoki river northern finland,positive,positive,0.9437901,94.37901
altia operating profit jumped eur million eur million,positive,positive,0.94350034,94.35003400000001
financial report published friday seb said net profit soared sek bn year earlier sek bn proposed dividend increase sek per share,positive,positive,0.94343555,94.343555
reporting period net sales rose year year eur due business acquisitions realized first half effect eur review period,positive,positive,0.9433349,94.33349
cargotec share capital increase totals eur,neutral,positive,0.9430204,94.30204
kaido kaare general director atria eesti says company investments upgrade pig farms surpass eek mn eur mn usd mn past years,positive,positive,0.94293326,94.293326
furthermore efficiency improvement measures initiated earlier bearing fruit ceo jan lang said,positive,positive,0.9427823,94.27823
margarine business put good shape last two years making natural addition bunge looking leverage position central northern european markets raisio ceo matti rihko said statement,positive,positive,0.9426459,94.26459
sales finland rose international growth,positive,positive,0.94250137,94.250137
full company expects net sales operating result improve previous year saying positive operating result amount depend order intake end summer,positive,positive,0.94233257,94.23325700000001
upm kymmene generated thirty one consecutive quarters positive ebitda,positive,positive,0.9420955,94.20955
company advantage pricing seen significantly lower prices offered new unmanned stations,positive,positive,0.9417377,94.17377
biohit already services many current genesis customers customer base expected expand result agreement,positive,positive,0.94171447,94.171447
fair value property portfolio doubled result kapiteeli acquisition totalled eur million,positive,positive,0.94146454,94.146454
concerns remain longer term size scale may enable nokia hold newfound margin improvements near term analyst wrote,positive,positive,0.9413709,94.13709
lining stone sales also good early autumn order books strong end year,positive,positive,0.94134325,94.13432499999999
operating profit sales three month period increased respectively eur eur compared corresponding period,positive,positive,0.94130814,94.130814
individual promotion also generated slightly higher expected revenues,positive,positive,0.9412353,94.12353
new technology improves glass quality consistency increasing throughput,positive,positive,0.94109535,94.109535
h kan dahlstr head mobility services teliasonera forecast mobile data volume teliasonera network sweden rise eight fold tb,positive,positive,0.9409876,94.09876
operating result including non recurring items rose eur mn loss eur mn,positive,positive,0.94086677,94.086677
priority strengthen company balance sheet increase cash flow ceo hannu krook said,positive,positive,0.9408224,94.08224
pretax profit jumped eur million eur million,positive,positive,0.9406247,94.06247
efore results last quarter showed even faster improvement company managed better source components,positive,positive,0.94044316,94.044316
february finnish textile clothing company marimekko oyj hel mmo v said today preliminary operating profit grew eur eur,positive,positive,0.9404327,94.04327
performance second half exceeded expectations,positive,positive,0.94034433,94.03443299999999
addition cramo peab signed exclusive five year rental agreements finland extended existing rental agreements swedish market another five years,positive,positive,0.9396274,93.96274
finnish swedish construction markets still experiencing estimated annual growth,positive,positive,0.9394391,93.94391
mr priit kasak balti metsamasina owner said rakvere based company wishes increase valmet market share third couple years,positive,positive,0.9392235,93.92235
operating profit net sales month period increased respectively eur eur compared financial year,positive,positive,0.93911296,93.911296
operating profit net sales month period increased respectively eur eur compared financial year,positive,positive,0.93911296,93.911296
ragutis based lithuania second largest city kaunas boosted sales last year per cent million liters,positive,positive,0.93904674,93.904674
eps improved eur eur,positive,positive,0.93891865,93.891865
stora enso r shares rose pct eur upm kymmene also dragged higher rising pct eur real b added pct eur,positive,positive,0.9388039,93.88039
sq sq ft store copenhagen premier shopping district inaugurated today strengthening company presence nordic capitals,positive,positive,0.93869823,93.869823
kalmar awarded new year contract supply rough terrain container handler rtch,positive,positive,0.93859273,93.859273
ebitda year improved eur compared eur,positive,positive,0.9383625,93.83624999999999
operating profit nine month period increased eur net sales increased eur compared corresponding period,positive,positive,0.938263,93.82629999999999
operating profit nine month period increased eur net sales increased eur compared corresponding period,positive,positive,0.938263,93.82629999999999
seppala revenue increased eur finland revenue went eur sales abroad rose eur sales increased baltic countries well russia ukraine,positive,positive,0.9382046,93.82046000000001
finlan listed food industry company hkscan group controlled companies baltics improved revenues eur mn eur mn eur mn year,positive,positive,0.9381664,93.81663999999999
global sports equipment maker amer sports corp whose brands include atomic salomon wilson saw percent increase third quarter net profit euro million million strong sales cost cuts,positive,positive,0.9380996,93.80996
operating profit net sales six month period increased respectively eur eur compared corresponding period,positive,positive,0.9379266,93.79266000000001
operating profit net sales six month period increased respectively eur eur compared corresponding period,positive,positive,0.9379266,93.79266000000001
operating profit net sales six month period increased respectively eur eur compared corresponding period,positive,positive,0.9379266,93.79266000000001
operating profit net sales six month period increased respectively eur eur compared corresponding period,positive,positive,0.9379266,93.79266000000001
scanfil expects net sales remain level,neutral,positive,0.937786,93.7786
megafon subscriber base increased million users december market share number customers amounted late late according teliasonera estimates,positive,positive,0.9376131,93.76131
finnish supplier bss oss vas telecom operators tecnotree received expansion orders worth total us mn convergent charging next generation messaging solutions latin america company announced without specifying operators placed orders,positive,positive,0.9374589,93.74589
necessary strengthen company operations however,neutral,positive,0.9374489,93.74489
finnish daily kauppalehti surmises finnish supplier rautaruukki raised prices aker comfort zone,negative,positive,0.93738365,93.738365
press release october ruukki signed contract deliver install steel structures bridge kyronsalmi strait savonlinna finland,positive,positive,0.93697804,93.69780399999999
situation normalises company able increase amount residential units sale st petersburg moscow particular,positive,positive,0.93686074,93.68607399999999
diluted eps rose eur eur,positive,positive,0.9365613,93.65613
lifetree founded revenues risen average margins late,positive,positive,0.9364445,93.64445
kaupthing forecasts significant price increase printing paper,positive,positive,0.9358376,93.58376
operating profit surged eur eur,positive,positive,0.93582916,93.58291600000001
february finnish broadband data communication systems provider teleste oyj hel tlt v said wednesday net profit rocketed eur eur lifted dividend proposal,positive,positive,0.9353686,93.53686
operating profit net sales three month period increased respectively eur eur compared corresponding period,positive,positive,0.93531656,93.531656
uponor improved performance spite decrease residential construction us,positive,positive,0.93482727,93.482727
shopping center opened st petersburg russia november turn cash flow finnish department store chain stockmann russian operations positive first time,positive,positive,0.93468654,93.468654
kalnapilio tauro grupe kalnapilis tauras group owned denmark royal unibrew raised market share percent percent beer sales seven months jumped percent million liters,positive,positive,0.9346291,93.46291
construction volumes meanwhile grow rate percent annually,positive,positive,0.93451065,93.451065
february finnish media company sanoma oyj hel saa v said yesterday net profit almost tripled eur eur announced proposal raised payout,positive,positive,0.9340229,93.40229
vaahto pulp paper finnish vaahto group awarded order renovate finnish swedish forest industry company stora enso paperboard machine ingerois board mill finland,positive,positive,0.9340108,93.40108000000001
subscriptions increase cargotec share capital euros,positive,positive,0.93399686,93.399686
broker repeated buy rating based expectations current restructuring lead clear improvement performance europe,positive,positive,0.9339301,93.39301
three year turn around program expected ensure salomon future competitiveness company said,positive,positive,0.93374413,93.374413
finnish cargotec kalmar business area providing container handling solutions awarded order ten e one rubber tyred gantry rtg cranes saigon newport company snp vietnam,positive,positive,0.9335946,93.35946
projected revenue billion billion slightly higher analyst estimates billion,positive,positive,0.9334083,93.34083
tietoenator signed agreement acquire indian research development r services provider turnkey software solutions developer fortuna technologies pvt ltd mln euro mln september,neutral,positive,0.9333888,93.33888
orion pharma operating profit increased,positive,positive,0.93335164,93.335164
adpnews jun finnish stainless steel maker outokumpu oyj hel v said yesterday signed three year eur million usd bn revolving credit facility,positive,positive,0.9328882,93.28882
february finnish broadband data communication systems provider teleste oyj hel tlt v said yesterday net profit rocketed eur eur lifted dividend proposal,positive,positive,0.93287903,93.287903
finnish business software group affectogenimap oyj said net profit halved mln euro mln first nine months mln euro mln period,negative,positive,0.9328466,93.28466
department store division reported increase sales per cent,positive,positive,0.9327438,93.27438000000001
time profit company increased h reached ls,positive,positive,0.93256223,93.256223
china based operation enable us fully leverage resources expertise wireless solutions also strengthen capability offer industry leading products customers china,positive,positive,0.9324457,93.24457000000001
finnish operator elisa aker yards signed long term service deal elisa deliver necessary voice data services aker yards finland,positive,positive,0.93231595,93.231595
sales improved sek mn compared sek mn,positive,positive,0.9319208,93.19208
aspo plc stock exchange release february esl shipping ltd part aspo group signed new long term contract rautaruukki corporation marine transport raw materials baltic sea,positive,positive,0.93187654,93.187654
use back pet bottles also steadily increased rate use strapping tape picked dip petcore said previously,positive,positive,0.9318379,93.18379
kalnapilio tauro grupe kalnapilis tauras group owned denmark royal unibrew raised market share percent percent beer sales nine months jumped percent million liters,positive,positive,0.9313812,93.13812
actions expected deliver annual cost savings eur,positive,positive,0.9311352,93.11352000000001
result company currently anticipates net sales increase operating result positive,positive,positive,0.93107337,93.107337
increase net sales due acquisition swedish silva produces garden tools boats,positive,positive,0.9310681,93.10681
